,scenario_name,h2_percent,co2_percent,sf_percent,Power Plant Emissions,Power Plant PSC Abatement,H2 Plant Emissions,H2 Plant PSC Abatement,DAC Plant Emissions,DAC Abatement,CO2 Storage,SF CO2 In,SynFuel Emissions,SynByProd Emissions,Conventional Fuel Emissions
"20% H2, 0% SF,
 Baseline CO2 Storage","20% H2, 0% SF,
 Baseline CO2 Storage",0.2,0.4,0.0,110.60822520521727,-86.4535741163771,110.43848466474199,-106.24182216474199,0.055782674731816875,-14.12734348653205,206.82221901974535,0.0,0.0,,83.5572419716119
"20% H2, 5% SF,
 Baseline CO2 Storage","20% H2, 5% SF,
 Baseline CO2 Storage",0.2,0.4,0.05,109.25513061906122,-84.94679278516189,109.02716136944115,-104.88412886944114,0.06853649431995584,-17.357334078974603,203.5859858762245,3.6012688529576575,3.535307823763081,,81.87600612701722
"20% H2, 10% SF,
 Baseline CO2 Storage","20% H2, 10% SF,
 Baseline CO2 Storage",0.2,0.4,0.1,107.9719660897934,-83.41090708613235,106.89390429054588,-102.83193579054587,0.08257665113518299,-20.913100381949445,199.7076656585808,7.447236225045458,7.310832988710996,,80.0805334938615
"20% H2, 15% SF,
 Baseline CO2 Storage","20% H2, 15% SF,
 Baseline CO2 Storage",0.2,0.4,0.15,106.68131954192431,-81.83150860271982,105.018079285354,-101.027389285354,0.0984034810952147,-24.921339077484696,196.04308382932783,11.736089943165542,11.521130447056382,,78.07830271307377
"20% H2, 20% SF,
 Baseline CO2 Storage","20% H2, 20% SF,
 Baseline CO2 Storage",0.2,0.4,0.2,104.35913519716463,-79.55524231500979,102.33775178666563,-98.44891728666563,0.11323609494693111,-28.67781496921119,190.24257613404114,16.438163535536727,16.137083545087783,,75.88315951185236
"40% H2, 0% SF,
 Baseline CO2 Storage","40% H2, 0% SF,
 Baseline CO2 Storage",0.4,0.4,0.0,110.49341638977018,-86.34627112933941,116.72208179028082,-112.28664279028082,0.004725969098371215,-1.1968840009561157,199.82877516844368,0.0,0.0,,75.50067996880163
"40% H2, 5% SF,
 Baseline CO2 Storage","40% H2, 5% SF,
 Baseline CO2 Storage",0.4,0.4,0.05,109.06407421672658,-84.74154142321537,115.14838535701963,-110.77274635701963,0.016092429157490065,-4.075517094828017,196.4302022652578,3.1580825355864106,3.100239227709988,,74.02634346539878
"40% H2, 10% SF,
 Baseline CO2 Storage","40% H2, 10% SF,
 Baseline CO2 Storage",0.4,0.4,0.1,107.88042320071811,-83.32966399161745,113.18538252872686,-108.88433752872686,0.028454258637516626,-7.206234389303489,192.87927471336383,6.539341548708892,6.419567287883746,,72.44781800921174
"40% H2, 15% SF,
 Baseline CO2 Storage","40% H2, 15% SF,
 Baseline CO2 Storage",0.4,0.4,0.15,106.8042761459684,-81.94307832156672,111.23135311101609,-107.00456111101609,0.042532729479863536,-10.771703756089519,189.44638305514448,10.27121754536155,10.083090703975174,,70.70560846368198
"40% H2, 20% SF,
 Baseline CO2 Storage","40% H2, 20% SF,
 Baseline CO2 Storage",0.4,0.4,0.2,105.38415463203432,-80.15775071241745,109.496974517872,-105.33608931787201,0.05840234980728341,-14.790794150785583,185.86862887484102,14.414615097157075,14.150598237259757,,68.771281970216
